Albania,Greece;Macedonia;Montenegro;Kosovo
Greece,Bulgaria;Macedonia;Albania
Macedonia,Greece;Bulgaria;Albania;Kosovo;Serbia
Montenegro,Albania;Croatia;Serbia;Kosovo;Bosnia_and_Herzegovina
Kosovo,Montenegro;Macedonia;Serbia;Albania
Austria,Czechia;Slovenia;Switzerland;Hungary;Italy;Germany;Slovakia
Slovenia,Croatia;Austria;Italy;Hungary
Italy,Switzerland;Austria;Slovenia;France
Switzerland,Germany;Austria;Italy;France
Germany,Netherlands;Czechia;Switzerland;Belgium;Poland;Austria;Denmark;Luxembourg;France
Czechia,Poland;Austria;Slovakia;Germany
Slovakia,Czechia;Ukraine;Hungary;Poland;Austria
Hungary,Romania;Croatia;Ukraine;Slovenia;Serbia;Austria;Slovakia
Belarus,Russia;Ukraine;Poland;Lithuania;Latvia
Ukraine,Russia;Romania;Moldova;Hungary;Poland;Belarus;Slovakia
Poland,Russia;Czechia;Ukraine;Belarus;Lithuania;Germany;Slovakia
Lithuania,Latvia;Poland;Belarus;Russia
Latvia,Russia;Belarus;Estonia;Lithuania
Russia,Finland;Ukraine;Poland;Belarus;Estonia;Lithuania;Norway;Latvia
Belgium,Netherlands;Germany;Luxembourg;France
Netherlands,Belgium;Germany
Luxembourg,Belgium;Germany;France
France,Spain;Switzerland;Belgium;Italy;Germany;Luxembourg
Bosnia_and_Herzegovina,Montenegro;Croatia;Serbia
Croatia,Montenegro;Slovenia;Hungary;Serbia;Bosnia_and_Herzegovina
Serbia,Bulgaria;Romania;Montenegro;Croatia;Macedonia;Hungary;Kosovo;Bosnia_and_Herzegovina
Bulgaria,Greece;Macedonia;Romania;Serbia
Romania,Bulgaria;Moldova;Ukraine;Hungary;Serbia
Denmark,Germany
Estonia,Russia;Latvia
Finland,Norway;Russia;Sweden
Norway,Russia;Sweden;Finland
Sweden,Norway;Finland
Spain,Portugal;France
Ireland,UK
UK,Ireland
Portugal,Spain
Moldova,Romania;Ukraine